Name,Link,Link_RSS,RSS_Feed
Lehrstuhl für Global Governance and International Trade,https://www.gg.rw.fau.de/,https://www.gg.rw.fau.de/category/allgemein/feed/,Yes
"Lehrstuhl für Betriebswirtschaftslehre, insbes. Gesundheitsmanagement",http://www.gm.wiso.fau.de/,http://www.gm.wiso.fau.de/category/allgemein/feed/,Yes
Lehrstuhl für Rechnungswesen und Controlling,http://www.controlling.wiso.fau.de/,http://www.controlling.wiso.fau.de/category/allgemein/feed/,Yes
"Lehrstuhl für Betriebswirtschaftslehre, insbes. Supply Chain Management",http://www.scm.rw.fau.de/,https://www.scm.rw.fau.de/category/news/feed/,No
GfK-Lehrstuhl für Marketing Intelligence,http://marketing-intelligence.wiso.fau.de/,http://marketing-intelligence.wiso.fau.de/category/allgemein/feed/,Yes
"Lehrstuhl für Betriebswirtschaftslehre, insb. Versicherungsmarketing",http://www.versicherungsmarketing.rw.uni-erlangen.de/,http://www.versicherungsmarketing.rw.uni-erlangen.de/category/allgemein/feed/,Yes
"Lehrstuhl für Volkswirtschaftslehre, insbes. Wirtschaftstheorie",http://www.wirtschaftstheorie.wiso.fau.de/,http://www.wirtschaftstheorie.wiso.fau.de/category/allgemein/feed/,Yes
Lehrstuhl für Technologiemanagement,http://www.tm.rw.fau.de/,http://www.tm.rw.fau.de/category/allgemein/feed/,Yes
"Lehrstuhl für Wirtschaftsinformatik, insb. Innovation und Wertschöpfung",http://www.wi1.fau.de/,http://www.wi1.fau.de/category/allgemein/feed/,Yes
Lehrstuhl für Soziologie und Empirische Sozialforschung,http://www.soziologie.wiso.fau.de/,http://www.soziologie.wiso.fau.de/category/allgemein/feed/,Yes
Lehrstuhl für Steuerrecht und Öffentliches Recht,http://www.steuerrecht.wiso.fau.de/,https://www.steuerrecht.rw.fau.de/category/verangene-veranstaltungen/feed/,No
"Schöller Stiftungsprofessur für Wirtschaftsinformatik, insbesondere Digitalisierung in Wirtschaft und Gesellschaft",https://www.digitalisierung.rw.fau.de/,https://www.digitalisierung.rw.fau.de/category/allgemein/feed/,Yes
"Lehrstuhl für Betriebswirtschaftslehre, insbes. Internationales Management",http://www.im.wiso.fau.de/,https://www.im.rw.fau.de/category/news/feed/,No
Juniorprofessur für Data Analytics,https://www.data-analytics.rw.fau.eu/,https://www.data-analytics.rw.fau.eu/category/allgemein/feed/,Yes
"Juniorprofessur für Wirtschaftsinformatik, insbesondere Gamification",https://gamification.rw.fau.de/,https://gamification.rw.fau.de/category/aktuelles/feed/,No
Chair of Quantitative Labor Economics,https://www.quantitativearbeitsoekonomik.rw.fau.de/,https://www.quantitativearbeitsoekonomik.rw.fau.de/category/allgemein/feed/,Yes
Lehrstuhl für Arbeitsmarkt- und Regionalpolitik,http://www.arbeitsmarkt.wiso.uni-erlangen.de/,http://www.arbeitsmarkt.wiso.uni-erlangen.de/category/allgemein/feed/,Yes
Lehrstuhl für Corporate Sustainability Management,http://www.nachhaltigkeit.rw.fau.de/,http://www.nachhaltigkeit.rw.fau.de/category/allgemein/feed/,Yes
Juniorprofessur für Intelligent Information Systems,https://www.intelligentsystems.wiso.fau.de/,https://www.intelligentsystems.wiso.fau.de/category/allgemein/feed/,Yes
Lehrstuhl für Wirtschaftspädagogik und Personalentwicklung,http://www.wirtschaftspaedagogik.de/,http://www.wirtschaftspaedagogik.de/category/allgemein/feed/,Yes
Professur für Personalmanagement und Arbeitsorganisation in technologieorientierten Unternehmen,http://www.pm.rw.uni-erlangen.de/,http://www.pm.rw.uni-erlangen.de/category/allgemein/feed/,Yes
Lehrstuhl für Betriebswirtschaftliche Steuerlehre,https://www.steuerlehre.rw.fau.de/,https://www.steuerlehre.rw.fau.de/category/allgemein/feed/,Yes
"Lehrstuhl für Wirtschaftsinformatik, insb. Technische Informationssysteme",https://www.ti.rw.fau.de/,https://www.ti.rw.fau.de/category/general/feed/,No
Lehrstuhl für Statistik und Ökonometrie,http://www.statistik.wiso.fau.de/,http://www.statistik.wiso.fau.de/category/allgemein/feed/,Yes
Lehrstuhl für Wirtschaftsprivatrecht,http://www.precht.wiso.fau.de/,http://www.precht.wiso.fau.de/category/allgemein/feed/,Yes
"Lehrstuhl für Betriebswirtschaftslehre, insbes. Industrielles Management",http://www.industrial-management.rw.fau.de/,https://www.industry.rw.fau.de/category/all/feed/,No
"Lehrstuhl für Psychologie, insbes. Wirtschafts- und Sozialpsychologie",https://www.psychologie.wiso.uni-erlangen.de/,https://www.psychologie.wiso.uni-erlangen.de/category/allgemein/feed/,Yes
"Lehrstuhl für Wirtschaftsinformatik, insb. IT-Management",http://www.itm.rw.fau.de/,http://www.itm.rw.fau.de/category/allgemein/feed/,Yes
"Lehrstuhl für Volkswirtschaftslehre, insbesondere Sozialpolitik",http://www.sozialpolitik.wiso.fau.de/,http://www.sozialpolitik.wiso.fau.de/category/allgemein/feed/,Yes
Juniorprofessur für Arbeitsmarktsoziologie,http://arbeitsmarktsoziologie.rw.fau.de/,http://arbeitsmarktsoziologie.rw.fau.de/category/allgemein/feed/,Yes
"Lehrstuhl für Betriebswirtschaftslehre, insbes. Marketing",http://www.marketing.wiso.uni-erlangen.de/,https://www.marketing.rw.fau.de/category/aktuelles/feed/,No
Lehrstuhl für Empirische Wirtschaftssoziologie,http://www.wirtschaftssoziologie.wiso.fau.de/,http://www.wirtschaftssoziologie.wiso.fau.de/category/allgemein/feed/,Yes
Assistant Professorship for Labor and Innovation Economics,https://www.labor.rw.fau.de/,https://www.labor.rw.fau.de/category/allgemein/feed/,Yes
Lehrstuhl für Finanzierung und Banken,http://www.finanzierung.wiso.fau.de/,http://www.finanzierung.wiso.fau.de/category/allgemein/feed/,Yes
"Lehrstuhl für Betriebswirtschaftslehre, insbes. Unternehmensführung",http://www.management.wiso.fau.de/,http://www.management.wiso.fau.de/category/allgemein/feed/,Yes
Lehrstuhl für Kommunikationswissenschaft,http://www.kowi.wiso.fau.de/,http://www.kowi.wiso.fau.de/category/allgemein/feed/,Yes
"Professur für VWL, Industrieökonomik und Energiemärkte",http://www.energiewirtschaft.rw.fau.de/,http://www.energiewirtschaft.rw.fau.de/category/allgemein/feed/,Yes
Professur für Wirtschaftspädagogik,https://www.professur-wirtschaftspaedagogik.rw.fau.de/,https://www.professur-wirtschaftspaedagogik.rw.fau.de/category/allgemein/feed/,Yes
Juniorprofessur Energiemärkte und Energiesystemanalyse,https://www.energymarkets.wiso.rw.fau.de/,https://www.energymarkets.wiso.rw.fau.de/category/allgemein/feed/,Yes